phase,block,id,short_id,game_type,points,drule,drule_error_2d,drule_error_1d_a,drule_error_1d_b,drule_error_1d,rewards_approached,punishment_approached,dataset,partner_predictions_correct,partner_predictions_missing,drule_gen
3,1,sim-508,sim-508,solo,12.0,2d,0.0,4.0,4.0,4.0,12,0,sim,,,2d
0,0,sim-896,sim-896,solo,-1.0,neither,7.0,11.0,3.0,3.0,7,2,sim,,,neither
0,1,sim-896,sim-896,solo,8.0,1d_b,4.0,8.0,0.0,0.0,8,0,sim,,,1d
0,2,sim-896,sim-896,solo,8.0,1d_b,4.0,8.0,0.0,0.0,8,0,sim,,,1d
0,3,sim-896,sim-896,solo,8.0,1d_b,4.0,8.0,0.0,0.0,8,0,sim,,,1d
1,0,sim-896,sim-896,solo,8.0,1d_b,4.0,8.0,0.0,0.0,8,0,sim,,,1d
1,1,sim-896,sim-896,solo,8.0,1d_b,4.0,8.0,0.0,0.0,8,0,sim,,,1d
2,0,sim-896,sim-896,solo,8.0,1d_b,4.0,8.0,0.0,0.0,8,0,sim,,,1d
2,1,sim-896,sim-896,solo,8.0,1d_b,4.0,8.0,0.0,0.0,8,0,sim,,,1d
2,2,sim-896,sim-896,solo,8.0,1d_b,4.0,8.0,0.0,0.0,8,0,sim,,,1d
2,3,sim-896,sim-896,solo,8.0,1d_b,4.0,8.0,0.0,0.0,8,0,sim,,,1d
3,0,sim-896,sim-896,solo,8.0,1d_b,4.0,8.0,0.0,0.0,8,0,sim,,,1d
3,1,sim-896,sim-896,solo,8.0,1d_b,4.0,8.0,0.0,0.0,8,0,sim,,,1d
0,0,sim-923,sim-923,solo,2.0,neither,4.0,4.0,8.0,4.0,10,2,sim,,,neither
0,1,sim-923,sim-923,solo,8.0,1d_a,4.0,0.0,8.0,0.0,8,0,sim,,,1d
0,2,sim-923,sim-923,solo,8.0,1d_a,4.0,0.0,8.0,0.0,8,0,sim,,,1d
0,3,sim-923,sim-923,solo,8.0,1d_a,4.0,0.0,8.0,0.0,8,0,sim,,,1d
1,0,sim-923,sim-923,solo,8.0,1d_a,4.0,0.0,8.0,0.0,8,0,sim,,,1d
1,1,sim-923,sim-923,solo,8.0,1d_a,4.0,0.0,8.0,0.0,8,0,sim,,,1d
2,0,sim-923,sim-923,solo,8.0,1d_a,4.0,0.0,8.0,0.0,8,0,sim,,,1d
2,1,sim-923,sim-923,solo,8.0,1d_a,4.0,0.0,8.0,0.0,8,0,sim,,,1d
2,2,sim-923,sim-923,solo,8.0,1d_a,4.0,0.0,8.0,0.0,8,0,sim,,,1d
2,3,sim-923,sim-923,solo,8.0,1d_a,4.0,0.0,8.0,0.0,8,0,sim,,,1d
3,0,sim-923,sim-923,solo,8.0,1d_a,4.0,0.0,8.0,0.0,8,0,sim,,,1d
3,1,sim-923,sim-923,solo,8.0,1d_a,4.0,0.0,8.0,0.0,8,0,sim,,,1d
0,0,sim-034,sim-034,solo,5.0,neither,4.0,2.0,8.0,2.0,9,1,sim,,,neither
0,1,sim-034,sim-034,solo,5.0,neither,4.0,2.0,8.0,2.0,9,1,sim,,,neither
0,2,sim-034,sim-034,solo,8.0,1d_a,4.0,0.0,8.0,0.0,8,0,sim,,,1d
0,3,sim-034,sim-034,solo,8.0,1d_a,4.0,0.0,8.0,0.0,8,0,sim,,,1d
1,0,sim-034,sim-034,solo,8.0,1d_a,4.0,0.0,8.0,0.0,8,0,sim,,,1d
1,1,sim-034,sim-034,solo,8.0,1d_a,4.0,0.0,8.0,0.0,8,0,sim,,,1d
2,0,sim-034,sim-034,solo,8.0,1d_a,4.0,0.0,8.0,0.0,8,0,sim,,,1d
2,1,sim-034,sim-034,solo,8.0,1d_a,4.0,0.0,8.0,0.0,8,0,sim,,,1d
2,2,sim-034,sim-034,solo,8.0,1d_a,4.0,0.0,8.0,0.0,8,0,sim,,,1d
2,3,sim-034,sim-034,solo,8.0,1d_a,4.0,0.0,8.0,0.0,8,0,sim,,,1d
3,0,sim-034,sim-034,solo,9.0,1d_a,3.0,1.0,7.0,1.0,9,0,sim,,,1d
3,1,sim-034,sim-034,solo,8.0,1d_a,4.0,0.0,8.0,0.0,8,0,sim,,,1d
0,0,sim-484,sim-484,solo,-2.0,neither,11.0,7.0,9.0,7.0,2,1,sim,,,neither
0,1,sim-484,sim-484,solo,9.0,neither,3.0,3.0,5.0,3.0,9,0,sim,,,neither
0,2,sim-484,sim-484,solo,8.0,2d,1.0,5.0,5.0,5.0,12,1,sim,,,2d
0,3,sim-484,sim-484,solo,12.0,2d,0.0,4.0,4.0,4.0,12,0,sim,,,2d
1,0,sim-484,sim-484,solo,8.0,2d,1.0,5.0,5.0,5.0,12,1,sim,,,2d
1,1,sim-484,sim-484,solo,8.0,2d,1.0,5.0,5.0,5.0,12,1,sim,,,2d
2,0,sim-484,sim-484,solo,8.0,2d,1.0,5.0,5.0,5.0,12,1,sim,,,2d
2,1,sim-484,sim-484,solo,12.0,2d,0.0,4.0,4.0,4.0,12,0,sim,,,2d
2,2,sim-484,sim-484,solo,12.0,2d,0.0,4.0,4.0,4.0,12,0,sim,,,2d
2,3,sim-484,sim-484,solo,12.0,2d,0.0,4.0,4.0,4.0,12,0,sim,,,2d
3,0,sim-484,sim-484,solo,12.0,2d,0.0,4.0,4.0,4.0,12,0,sim,,,2d
3,1,sim-484,sim-484,solo,12.0,2d,0.0,4.0,4.0,4.0,12,0,sim,,,2d
0,0,sim-086,sim-086,solo,-1.0,neither,10.0,10.0,8.0,8.0,3,1,sim,,,neither
0,1,sim-086,sim-086,solo,4.0,neither,5.0,9.0,3.0,3.0,8,1,sim,,,neither
0,2,sim-086,sim-086,solo,8.0,1d_b,4.0,8.0,0.0,0.0,8,0,sim,,,1d
0,3,sim-086,sim-086,solo,8.0,1d_b,4.0,8.0,0.0,0.0,8,0,sim,,,1d
1,0,sim-086,sim-086,solo,8.0,1d_b,4.0,8.0,0.0,0.0,8,0,sim,,,1d
1,1,sim-086,sim-086,solo,9.0,1d_b,3.0,7.0,1.0,1.0,9,0,sim,,,1d
2,0,sim-086,sim-086,solo,10.0,neither,2.0,6.0,2.0,2.0,10,0,sim,,,neither
2,1,sim-086,sim-086,solo,7.0,neither,2.0,6.0,4.0,4.0,11,1,sim,,,neither
2,2,sim-086,sim-086,solo,8.0,2d,1.0,5.0,5.0,5.0,12,1,sim,,,2d
2,3,sim-086,sim-086,solo,12.0,2d,0.0,4.0,4.0,4.0,12,0,sim,,,2d
3,0,sim-086,sim-086,solo,12.0,2d,0.0,4.0,4.0,4.0,12,0,sim,,,2d
3,1,sim-086,sim-086,solo,12.0,2d,0.0,4.0,4.0,4.0,12,0,sim,,,2d
0,0,sim-751,sim-751,solo,1.0,neither,8.0,8.0,4.0,4.0,5,1,sim,,,neither
0,1,sim-751,sim-751,solo,8.0,1d_b,4.0,8.0,0.0,0.0,8,0,sim,,,1d
0,2,sim-751,sim-751,solo,4.0,1d_b,5.0,9.0,1.0,1.0,8,1,sim,,,1d
0,3,sim-751,sim-751,solo,8.0,1d_b,4.0,8.0,0.0,0.0,8,0,sim,,,1d
1,0,sim-751,sim-751,solo,8.0,1d_b,4.0,8.0,0.0,0.0,8,0,sim,,,1d
1,1,sim-751,sim-751,solo,8.0,1d_b,4.0,8.0,0.0,0.0,8,0,sim,,,1d
2,0,sim-751,sim-751,solo,8.0,1d_b,4.0,8.0,0.0,0.0,8,0,sim,,,1d
2,1,sim-751,sim-751,solo,8.0,1d_b,4.0,8.0,0.0,0.0,8,0,sim,,,1d
2,2,sim-751,sim-751,solo,8.0,1d_b,4.0,8.0,0.0,0.0,8,0,sim,,,1d
2,3,sim-751,sim-751,solo,8.0,1d_b,4.0,8.0,0.0,0.0,8,0,sim,,,1d
3,0,sim-751,sim-751,solo,8.0,1d_b,4.0,8.0,0.0,0.0,8,0,sim,,,1d
3,1,sim-751,sim-751,solo,8.0,1d_b,4.0,8.0,0.0,0.0,8,0,sim,,,1d
0,0,sim-355,sim-355,solo,4.0,neither,5.0,5.0,7.0,5.0,8,1,sim,,,neither
0,1,sim-355,sim-355,solo,5.0,neither,4.0,2.0,8.0,2.0,9,1,sim,,,neither
0,2,sim-355,sim-355,solo,8.0,1d_a,4.0,0.0,8.0,0.0,8,0,sim,,,1d
0,3,sim-355,sim-355,solo,8.0,1d_a,4.0,0.0,8.0,0.0,8,0,sim,,,1d
1,0,sim-355,sim-355,solo,8.0,1d_a,4.0,0.0,8.0,0.0,8,0,sim,,,1d
1,1,sim-355,sim-355,solo,8.0,1d_a,4.0,0.0,8.0,0.0,8,0,sim,,,1d
2,0,sim-355,sim-355,solo,8.0,1d_a,4.0,0.0,8.0,0.0,8,0,sim,,,1d
2,1,sim-355,sim-355,solo,8.0,1d_a,4.0,0.0,8.0,0.0,8,0,sim,,,1d
2,2,sim-355,sim-355,solo,8.0,1d_a,4.0,0.0,8.0,0.0,8,0,sim,,,1d
2,3,sim-355,sim-355,solo,9.0,1d_a,3.0,1.0,7.0,1.0,9,0,sim,,,1d
3,0,sim-355,sim-355,solo,12.0,2d,0.0,4.0,4.0,4.0,12,0,sim,,,2d
3,1,sim-355,sim-355,solo,12.0,2d,0.0,4.0,4.0,4.0,12,0,sim,,,2d
0,0,sim-524,sim-524,solo,-2.0,neither,11.0,11.0,7.0,7.0,2,1,sim,,,neither
0,1,sim-524,sim-524,solo,3.0,neither,6.0,6.0,6.0,6.0,7,1,sim,,,neither
0,2,sim-524,sim-524,solo,12.0,2d,0.0,4.0,4.0,4.0,12,0,sim,,,2d
0,3,sim-524,sim-524,solo,8.0,2d,1.0,5.0,5.0,5.0,12,1,sim,,,2d
1,0,sim-524,sim-524,solo,12.0,2d,0.0,4.0,4.0,4.0,12,0,sim,,,2d
1,1,sim-524,sim-524,solo,12.0,2d,0.0,4.0,4.0,4.0,12,0,sim,,,2d
2,0,sim-524,sim-524,solo,12.0,2d,0.0,4.0,4.0,4.0,12,0,sim,,,2d
2,1,sim-524,sim-524,solo,8.0,2d,1.0,5.0,5.0,5.0,12,1,sim,,,2d
2,2,sim-524,sim-524,solo,12.0,2d,0.0,4.0,4.0,4.0,12,0,sim,,,2d
2,3,sim-524,sim-524,solo,12.0,2d,0.0,4.0,4.0,4.0,12,0,sim,,,2d
3,0,sim-524,sim-524,solo,12.0,2d,0.0,4.0,4.0,4.0,12,0,sim,,,2d
3,1,sim-524,sim-524,solo,12.0,2d,0.0,4.0,4.0,4.0,12,0,sim,,,2d
0,0,sim-185,sim-185,solo,1.0,neither,8.0,8.0,6.0,6.0,5,1,sim,,,neither
0,1,sim-185,sim-185,solo,4.0,1d_b,5.0,9.0,1.0,1.0,8,1,sim,,,1d
0,2,sim-185,sim-185,solo,8.0,1d_b,4.0,8.0,0.0,0.0,8,0,sim,,,1d
0,3,sim-185,sim-185,solo,8.0,1d_b,4.0,8.0,0.0,0.0,8,0,sim,,,1d
1,0,sim-185,sim-185,solo,8.0,1d_b,4.0,8.0,0.0,0.0,8,0,sim,,,1d
1,1,sim-185,sim-185,solo,8.0,1d_b,4.0,8.0,0.0,0.0,8,0,sim,,,1d
2,0,sim-185,sim-185,solo,8.0,1d_b,4.0,8.0,0.0,0.0,8,0,sim,,,1d
2,1,sim-185,sim-185,solo,8.0,1d_b,4.0,8.0,0.0,0.0,8,0,sim,,,1d
2,2,sim-185,sim-185,solo,8.0,1d_b,4.0,8.0,0.0,0.0,8,0,sim,,,1d
2,3,sim-185,sim-185,solo,8.0,1d_b,4.0,8.0,0.0,0.0,8,0,sim,,,1d
3,0,sim-185,sim-185,solo,8.0,1d_b,4.0,8.0,0.0,0.0,8,0,sim,,,1d
3,1,sim-185,sim-185,solo,8.0,1d_b,4.0,8.0,0.0,0.0,8,0,sim,,,1d
0,0,sim-810,sim-810,solo,4.0,1d_a,5.0,1.0,9.0,1.0,8,1,sim,,,1d
0,1,sim-810,sim-810,solo,12.0,2d,0.0,4.0,4.0,4.0,12,0,sim,,,2d
0,2,sim-810,sim-810,solo,4.0,neither,2.0,6.0,6.0,6.0,12,2,sim,,,neither
0,3,sim-810,sim-810,solo,12.0,2d,0.0,4.0,4.0,4.0,12,0,sim,,,2d
1,0,sim-810,sim-810,solo,12.0,2d,0.0,4.0,4.0,4.0,12,0,sim,,,2d
1,1,sim-810,sim-810,solo,12.0,2d,0.0,4.0,4.0,4.0,12,0,sim,,,2d
2,0,sim-810,sim-810,solo,12.0,2d,0.0,4.0,4.0,4.0,12,0,sim,,,2d
2,1,sim-810,sim-810,solo,12.0,2d,0.0,4.0,4.0,4.0,12,0,sim,,,2d
2,2,sim-810,sim-810,solo,12.0,2d,0.0,4.0,4.0,4.0,12,0,sim,,,2d
2,3,sim-810,sim-810,solo,12.0,2d,0.0,4.0,4.0,4.0,12,0,sim,,,2d
3,0,sim-810,sim-810,solo,12.0,2d,0.0,4.0,4.0,4.0,12,0,sim,,,2d
3,1,sim-810,sim-810,solo,12.0,2d,0.0,4.0,4.0,4.0,12,0,sim,,,2d
0,0,sim-419,sim-419,solo,3.0,neither,6.0,4.0,8.0,4.0,7,1,sim,,,neither
0,1,sim-419,sim-419,solo,6.0,neither,3.0,3.0,7.0,3.0,10,1,sim,,,neither
0,2,sim-419,sim-419,solo,8.0,1d_a,4.0,0.0,8.0,0.0,8,0,sim,,,1d
0,3,sim-419,sim-419,solo,8.0,1d_a,4.0,0.0,8.0,0.0,8,0,sim,,,1d
1,0,sim-419,sim-419,solo,8.0,1d_a,4.0,0.0,8.0,0.0,8,0,sim,,,1d
1,1,sim-419,sim-419,solo,8.0,1d_a,4.0,0.0,8.0,0.0,8,0,sim,,,1d
2,0,sim-419,sim-419,solo,9.0,1d_a,3.0,1.0,7.0,1.0,9,0,sim,,,1d
2,1,sim-419,sim-419,solo,8.0,1d_a,4.0,0.0,8.0,0.0,8,0,sim,,,1d
2,2,sim-419,sim-419,solo,9.0,1d_a,3.0,1.0,7.0,1.0,9,0,sim,,,1d
2,3,sim-419,sim-419,solo,7.0,neither,2.0,4.0,6.0,4.0,11,1,sim,,,neither
3,0,sim-419,sim-419,solo,12.0,2d,0.0,4.0,4.0,4.0,12,0,sim,,,2d
3,1,sim-419,sim-419,solo,8.0,2d,1.0,5.0,5.0,5.0,12,1,sim,,,2d
0,0,sim-616,sim-616,solo,2.0,neither,7.0,5.0,9.0,5.0,6,1,sim,,,neither
0,1,sim-616,sim-616,solo,8.0,1d_a,4.0,0.0,8.0,0.0,8,0,sim,,,1d
0,2,sim-616,sim-616,solo,6.0,neither,3.0,3.0,7.0,3.0,10,1,sim,,,neither
0,3,sim-616,sim-616,solo,8.0,1d_a,4.0,0.0,8.0,0.0,8,0,sim,,,1d
1,0,sim-616,sim-616,solo,8.0,1d_a,4.0,0.0,8.0,0.0,8,0,sim,,,1d
1,1,sim-616,sim-616,solo,8.0,1d_a,4.0,0.0,8.0,0.0,8,0,sim,,,1d
2,0,sim-616,sim-616,solo,8.0,1d_a,4.0,0.0,8.0,0.0,8,0,sim,,,1d
2,1,sim-616,sim-616,solo,8.0,1d_a,4.0,0.0,8.0,0.0,8,0,sim,,,1d
2,2,sim-616,sim-616,solo,8.0,1d_a,4.0,0.0,8.0,0.0,8,0,sim,,,1d
2,3,sim-616,sim-616,solo,8.0,1d_a,4.0,0.0,8.0,0.0,8,0,sim,,,1d
3,0,sim-616,sim-616,solo,8.0,1d_a,4.0,0.0,8.0,0.0,8,0,sim,,,1d
3,1,sim-616,sim-616,solo,9.0,1d_a,3.0,1.0,7.0,1.0,9,0,sim,,,1d
0,0,sim-683,sim-683,solo,0.0,neither,9.0,7.0,7.0,7.0,4,1,sim,,,neither
0,1,sim-683,sim-683,solo,4.0,1d_b,5.0,9.0,1.0,1.0,8,1,sim,,,1d
0,2,sim-683,sim-683,solo,8.0,1d_b,4.0,8.0,0.0,0.0,8,0,sim,,,1d
0,3,sim-683,sim-683,solo,8.0,1d_b,4.0,8.0,0.0,0.0,8,0,sim,,,1d
1,0,sim-683,sim-683,solo,8.0,1d_b,4.0,8.0,0.0,0.0,8,0,sim,,,1d
1,1,sim-683,sim-683,solo,8.0,1d_b,4.0,8.0,0.0,0.0,8,0,sim,,,1d
2,0,sim-683,sim-683,solo,8.0,1d_b,4.0,8.0,0.0,0.0,8,0,sim,,,1d
2,1,sim-683,sim-683,solo,8.0,1d_b,4.0,8.0,0.0,0.0,8,0,sim,,,1d
2,2,sim-683,sim-683,solo,8.0,1d_b,4.0,8.0,0.0,0.0,8,0,sim,,,1d
2,3,sim-683,sim-683,solo,8.0,1d_b,4.0,8.0,0.0,0.0,8,0,sim,,,1d
3,0,sim-683,sim-683,solo,9.0,1d_b,3.0,7.0,1.0,1.0,9,0,sim,,,1d
3,1,sim-683,sim-683,solo,8.0,1d_b,4.0,8.0,0.0,0.0,8,0,sim,,,1d
0,0,sim-502,sim-502,solo,-3.0,neither,9.0,7.0,9.0,7.0,5,2,sim,,,neither
0,1,sim-502,sim-502,solo,8.0,1d_a,4.0,0.0,8.0,0.0,8,0,sim,,,1d
0,2,sim-502,sim-502,solo,8.0,1d_a,4.0,0.0,8.0,0.0,8,0,sim,,,1d
0,3,sim-502,sim-502,solo,8.0,1d_a,4.0,0.0,8.0,0.0,8,0,sim,,,1d
1,0,sim-502,sim-502,solo,8.0,1d_a,4.0,0.0,8.0,0.0,8,0,sim,,,1d
1,1,sim-502,sim-502,solo,8.0,1d_a,4.0,0.0,8.0,0.0,8,0,sim,,,1d
2,0,sim-502,sim-502,solo,8.0,1d_a,4.0,0.0,8.0,0.0,8,0,sim,,,1d
2,1,sim-502,sim-502,solo,8.0,1d_a,4.0,0.0,8.0,0.0,8,0,sim,,,1d
2,2,sim-502,sim-502,solo,8.0,1d_a,4.0,0.0,8.0,0.0,8,0,sim,,,1d
2,3,sim-502,sim-502,solo,8.0,1d_a,4.0,0.0,8.0,0.0,8,0,sim,,,1d
3,0,sim-502,sim-502,solo,8.0,1d_a,4.0,0.0,8.0,0.0,8,0,sim,,,1d
3,1,sim-502,sim-502,solo,8.0,1d_a,4.0,0.0,8.0,0.0,8,0,sim,,,1d
0,0,sim-761,sim-761,solo,-6.0,neither,12.0,8.0,10.0,8.0,2,2,sim,,,neither
0,1,sim-761,sim-761,solo,8.0,1d_a,4.0,0.0,8.0,0.0,8,0,sim,,,1d
0,2,sim-761,sim-761,solo,8.0,1d_a,4.0,0.0,8.0,0.0,8,0,sim,,,1d
0,3,sim-761,sim-761,solo,8.0,1d_a,4.0,0.0,8.0,0.0,8,0,sim,,,1d
1,0,sim-761,sim-761,solo,8.0,1d_a,4.0,0.0,8.0,0.0,8,0,sim,,,1d
1,1,sim-761,sim-761,solo,8.0,1d_a,4.0,0.0,8.0,0.0,8,0,sim,,,1d
2,0,sim-761,sim-761,solo,8.0,1d_a,4.0,0.0,8.0,0.0,8,0,sim,,,1d
2,1,sim-761,sim-761,solo,5.0,neither,4.0,2.0,8.0,2.0,9,1,sim,,,neither
2,2,sim-761,sim-761,solo,8.0,1d_a,4.0,0.0,8.0,0.0,8,0,sim,,,1d
2,3,sim-761,sim-761,solo,8.0,1d_a,4.0,0.0,8.0,0.0,8,0,sim,,,1d
3,0,sim-761,sim-761,solo,8.0,1d_a,4.0,0.0,8.0,0.0,8,0,sim,,,1d
3,1,sim-761,sim-761,solo,8.0,1d_a,4.0,0.0,8.0,0.0,8,0,sim,,,1d
0,0,sim-050,sim-050,solo,-3.0,neither,12.0,8.0,10.0,8.0,1,1,sim,,,neither
0,1,sim-050,sim-050,solo,2.0,neither,7.0,3.0,9.0,3.0,6,1,sim,,,neither
0,2,sim-050,sim-050,solo,8.0,1d_a,4.0,0.0,8.0,0.0,8,0,sim,,,1d
0,3,sim-050,sim-050,solo,8.0,1d_a,4.0,0.0,8.0,0.0,8,0,sim,,,1d
1,0,sim-050,sim-050,solo,8.0,1d_a,4.0,0.0,8.0,0.0,8,0,sim,,,1d
1,1,sim-050,sim-050,solo,8.0,1d_a,4.0,0.0,8.0,0.0,8,0,sim,,,1d
2,0,sim-050,sim-050,solo,8.0,1d_a,4.0,0.0,8.0,0.0,8,0,sim,,,1d
2,1,sim-050,sim-050,solo,8.0,1d_a,4.0,0.0,8.0,0.0,8,0,sim,,,1d
2,2,sim-050,sim-050,solo,8.0,1d_a,4.0,0.0,8.0,0.0,8,0,sim,,,1d
2,3,sim-050,sim-050,solo,8.0,1d_a,4.0,0.0,8.0,0.0,8,0,sim,,,1d
3,0,sim-050,sim-050,solo,8.0,1d_a,4.0,0.0,8.0,0.0,8,0,sim,,,1d
3,1,sim-050,sim-050,solo,8.0,1d_a,4.0,0.0,8.0,0.0,8,0,sim,,,1d
0,0,sim-733,sim-733,solo,-7.0,neither,13.0,9.0,9.0,9.0,1,2,sim,,,neither
0,1,sim-733,sim-733,solo,4.0,neither,8.0,4.0,6.0,4.0,4,0,sim,,,neither
0,2,sim-733,sim-733,solo,9.0,neither,3.0,3.0,5.0,3.0,9,0,sim,,,neither
0,3,sim-733,sim-733,solo,8.0,1d_a,4.0,0.0,8.0,0.0,8,0,sim,,,1d
1,0,sim-733,sim-733,solo,8.0,1d_a,4.0,0.0,8.0,0.0,8,0,sim,,,1d
1,1,sim-733,sim-733,solo,11.0,2d,1.0,3.0,5.0,3.0,11,0,sim,,,2d
2,0,sim-733,sim-733,solo,11.0,2d,1.0,3.0,5.0,3.0,11,0,sim,,,2d
2,1,sim-733,sim-733,solo,8.0,2d,1.0,5.0,5.0,5.0,12,1,sim,,,2d
2,2,sim-733,sim-733,solo,12.0,2d,0.0,4.0,4.0,4.0,12,0,sim,,,2d
2,3,sim-733,sim-733,solo,8.0,2d,1.0,5.0,5.0,5.0,12,1,sim,,,2d
3,0,sim-733,sim-733,solo,12.0,2d,0.0,4.0,4.0,4.0,12,0,sim,,,2d
3,1,sim-733,sim-733,solo,12.0,2d,0.0,4.0,4.0,4.0,12,0,sim,,,2d
0,0,sim-337,sim-337,solo,-2.0,neither,8.0,8.0,6.0,6.0,6,2,sim,,,neither
0,1,sim-337,sim-337,solo,8.0,1d_b,4.0,8.0,0.0,0.0,8,0,sim,,,1d
0,2,sim-337,sim-337,solo,8.0,1d_b,4.0,8.0,0.0,0.0,8,0,sim,,,1d
0,3,sim-337,sim-337,solo,8.0,1d_b,4.0,8.0,0.0,0.0,8,0,sim,,,1d
1,0,sim-337,sim-337,solo,8.0,1d_b,4.0,8.0,0.0,0.0,8,0,sim,,,1d
1,1,sim-337,sim-337,solo,8.0,1d_b,4.0,8.0,0.0,0.0,8,0,sim,,,1d
2,0,sim-337,sim-337,solo,8.0,1d_b,4.0,8.0,0.0,0.0,8,0,sim,,,1d
2,1,sim-337,sim-337,solo,8.0,1d_b,4.0,8.0,0.0,0.0,8,0,sim,,,1d
2,2,sim-337,sim-337,solo,8.0,1d_b,4.0,8.0,0.0,0.0,8,0,sim,,,1d
2,3,sim-337,sim-337,solo,11.0,2d,1.0,5.0,3.0,3.0,11,0,sim,,,2d
3,0,sim-337,sim-337,solo,0.0,neither,3.0,7.0,7.0,7.0,12,3,sim,,,neither
3,1,sim-337,sim-337,solo,8.0,2d,1.0,5.0,5.0,5.0,12,1,sim,,,2d
0,0,sim-451,sim-451,solo,2.0,neither,4.0,8.0,4.0,4.0,10,2,sim,,,neither
0,1,sim-451,sim-451,solo,8.0,1d_b,4.0,8.0,0.0,0.0,8,0,sim,,,1d
0,2,sim-451,sim-451,solo,8.0,1d_b,4.0,8.0,0.0,0.0,8,0,sim,,,1d
0,3,sim-451,sim-451,solo,8.0,1d_b,4.0,8.0,0.0,0.0,8,0,sim,,,1d
1,0,sim-451,sim-451,solo,8.0,1d_b,4.0,8.0,0.0,0.0,8,0,sim,,,1d
1,1,sim-451,sim-451,solo,8.0,1d_b,4.0,8.0,0.0,0.0,8,0,sim,,,1d
2,0,sim-451,sim-451,solo,8.0,1d_b,4.0,8.0,0.0,0.0,8,0,sim,,,1d
2,1,sim-451,sim-451,solo,8.0,1d_b,4.0,8.0,0.0,0.0,8,0,sim,,,1d
2,2,sim-451,sim-451,solo,8.0,1d_b,4.0,8.0,0.0,0.0,8,0,sim,,,1d
2,3,sim-451,sim-451,solo,8.0,1d_b,4.0,8.0,0.0,0.0,8,0,sim,,,1d
3,0,sim-451,sim-451,solo,8.0,1d_b,4.0,8.0,0.0,0.0,8,0,sim,,,1d
3,1,sim-451,sim-451,solo,8.0,1d_b,4.0,8.0,0.0,0.0,8,0,sim,,,1d
0,0,sim-791,sim-791,solo,1.0,neither,8.0,8.0,4.0,4.0,5,1,sim,,,neither
0,1,sim-791,sim-791,solo,4.0,1d_b,5.0,9.0,1.0,1.0,8,1,sim,,,1d
0,2,sim-791,sim-791,solo,8.0,1d_b,4.0,8.0,0.0,0.0,8,0,sim,,,1d
0,3,sim-791,sim-791,solo,8.0,1d_b,4.0,8.0,0.0,0.0,8,0,sim,,,1d
1,0,sim-791,sim-791,solo,8.0,1d_b,4.0,8.0,0.0,0.0,8,0,sim,,,1d
1,1,sim-791,sim-791,solo,8.0,1d_b,4.0,8.0,0.0,0.0,8,0,sim,,,1d
